CFSLGR_DataFile,,,,,,,,,
ÉfÅ[É^ï€ë∂[å¬/ïb],1200,,Filter,OFF,,,,,
íËäi,100,100,,2,2,2,,,0.276826389
åoâﬂéûä‘[sec],Fx[N],Fy[N],Fz[N],Mx[Nm],My[Nm],Mz[Nm],,,
5.755,-0.22,-0.31,0.17,0.134,-0.062,-0.001,,,
5.7558,-0.22,-0.21,0.03,0.124,-0.06,-0.002,,,
5.7567,-0.16,-0.26,0.36,0.123,-0.065,-0.003,,,
5.7575,-0.25,-0.31,0.08,0.112,-0.072,-0.002,,,
5.7583,-0.39,-0.29,0.21,0.105,-0.068,-0.004,,,
5.7592,-0.34,-0.3,0.25,0.098,-0.071,-0.006,,,
5.76,-0.39,-0.23,0.09,0.086,-0.07,-0.004,,,
5.7608,-0.43,-0.09,0.15,0.08,-0.062,-0.006,,,
5.7617,-0.26,-0.14,0.34,0.075,-0.053,-0.007,,,
5.7625,-0.21,-0.1,0.39,0.067,-0.047,-0.005,,,
5.7633,-0.16,-0.08,0.35,0.06,-0.041,-0.006,,,
5.7642,-0.16,-0.03,0.34,0.053,-0.03,-0.005,,,
5.765,0,0.02,0.36,0.045,-0.021,-0.006,,,
5.7658,0.07,0.05,0.31,0.038,-0.013,-0.005,,,
5.7667,0.18,0.1,0.25,0.028,-0.01,-0.006,,,
5.7675,0.15,0.17,0.23,0.023,-0.004,-0.005,,,
5.7683,0.25,0.2,0.42,0.014,0,-0.006,,,
5.7692,0.23,0.24,0.54,0.008,0.001,-0.005,,,
5.77,0.23,0.27,0.75,0.002,0.001,-0.005,,,
5.7708,0.18,0.33,0.86,-0.004,0.001,-0.004,,,
5.7717,0.15,0.41,0.92,-0.01,0.002,-0.004,,,
5.7725,0.12,0.47,0.83,-0.013,0.002,-0.004,,,
5.7733,0.12,0.42,0.79,-0.012,0.002,-0.004,,,
5.7742,0.12,0.33,0.75,-0.009,0.001,-0.004,,,
5.775,0.1,0.25,0.65,-0.007,0,-0.003,,,
5.7758,0.07,0.19,0.59,-0.006,-0.003,-0.004,,,
5.7767,0.01,0.16,0.49,-0.005,-0.006,-0.002,,,
5.7775,-0.06,0.19,0.41,-0.003,-0.007,-0.002,,,
5.7783,-0.07,0.19,0.42,-0.003,-0.005,-0.002,,,
5.7792,-0.05,0.17,0.51,-0.003,-0.007,-0.001,,,
5.78,-0.08,0.14,0.57,-0.001,-0.007,-0.001,,,
5.7808,-0.08,0.12,0.63,0,-0.005,0,,,
5.7817,-0.04,0.1,0.58,-0.001,-0.005,0,,,
5.7825,-0.05,0.1,0.51,0.001,-0.006,0,,,
5.7833,-0.07,0.09,0.39,-0.003,-0.012,0.001,,,
5.7842,-0.17,0.17,0.4,0,-0.005,0,,,
5.785,-0.02,0.14,0.51,-0.003,-0.002,0,,,
5.7858,0.02,0.17,0.49,-0.004,-0.005,0,,,
5.7867,-0.05,0.15,0.45,-0.002,-0.005,0.001,,,
5.7875,-0.07,0.15,0.41,-0.003,-0.006,0,,,
5.7883,-0.04,0.2,0.4,-0.007,-0.003,0,,,
5.7892,-0.01,0.22,0.49,-0.004,-0.002,0,,,
5.79,0.03,0.15,0.47,-0.004,-0.004,0,,,
5.7908,-0.01,0.18,0.54,-0.005,-0.003,0.001,,,
5.7917,0.01,0.2,0.67,-0.004,-0.002,0,,,
5.7925,0.02,0.2,0.72,-0.005,-0.001,0.001,,,
5.7933,0,0.24,0.37,-0.008,-0.003,0.001,,,
5.7942,-0.02,0.27,0.12,-0.011,-0.002,0.001,,,
5.795,0,0.29,0.11,-0.008,0,-0.001,,,
5.7958,0.03,0.2,0.12,-0.007,0,0.001,,,
5.7967,0.12,0.15,0.15,-0.005,0.001,0.001,,,
5.7975,0.03,0.16,0.28,-0.006,-0.002,0,,,
5.7983,0.04,0.12,0.29,-0.001,-0.001,0.002,,,
5.7992,-0.03,0.1,0.25,-0.001,0,0.002,,,
5.8,0.05,0.1,0.25,0,0.001,0.003,,,
5.8008,0.02,0.05,0.31,0.004,0,0.004,,,
5.8017,0.04,-0.04,0.24,0.009,0.005,0.005,,,
5.8025,0.14,-0.08,0.15,0.01,0.01,0.005,,,
5.8033,0.16,-0.12,0.08,0.011,0.012,0.006,,,
5.8042,0.18,-0.11,0,0.014,0.016,0.005,,,
5.805,0.18,-0.06,-0.1,0.011,0.017,0.005,,,
5.8058,0.19,-0.05,-0.14,0.012,0.017,0.005,,,
5.8067,0.17,-0.03,-0.1,0.011,0.017,0.004,,,
5.8075,0.17,0,-0.01,0.01,0.015,0.004,,,
5.8083,0.11,0.05,0.05,0.008,0.011,0.003,,,
5.8092,0.03,0.09,0,0.004,0.009,0.002,,,
5.81,0.02,0.12,-0.11,0.001,0.004,0.002,,,
5.8108,-0.01,0.12,-0.1,0.001,0.001,0.002,,,
5.8117,0,0.09,-0.01,0.003,0.001,0.002,,,
5.8125,-0.02,0.08,0.02,0.001,-0.001,0.001,,,
5.8133,-0.02,0.1,0.06,0,-0.002,0.002,,,
5.8142,-0.03,0.09,0.21,0.002,-0.001,0.002,,,
5.815,-0.07,0.11,0.18,0.003,-0.002,0.001,,,
5.8158,-0.09,0.13,0.09,0.001,-0.003,0.002,,,
5.8167,-0.04,0.11,0.11,0.005,0.001,0.002,,,
5.8175,0.06,0.07,0.16,0.006,0.007,0.002,,,
5.8183,0.09,0.04,0.07,0.009,0.009,0.002,,,
5.8192,0.11,0.01,0.12,0.012,0.013,0.003,,,
5.82,0.13,-0.01,0.12,0.015,0.016,0.002,,,
5.8208,0.16,0,0.11,0.016,0.02,0.002,,,
5.8217,0.16,0,0.06,0.019,0.021,0.003,,,
5.8225,0.22,-0.05,0.17,0.022,0.027,0.003,,,
5.8233,0.23,-0.04,0.17,0.023,0.026,0.002,,,
5.8242,0.23,-0.11,0.24,0.026,0.028,0.004,,,
5.825,0.21,-0.09,0.31,0.026,0.026,0.003,,,
5.8258,0.24,-0.16,0.37,0.027,0.028,0.004,,,
5.8267,0.18,-0.06,0.29,0.025,0.023,0.002,,,
5.8275,0.15,-0.04,0.14,0.025,0.022,0.004,,,
5.8283,0.17,0.02,-0.01,0.024,0.019,0.001,,,
5.8292,0.15,-0.1,-0.09,0.035,0.013,0.001,,,
5.83,0.06,-0.24,0.06,0.05,0.003,0,,,
5.8308,-0.04,-0.29,0.01,0.062,-0.005,0,,,
5.8317,-0.08,-0.36,-0.04,0.073,-0.014,-0.002,,,
5.8325,-0.14,-0.41,0,0.086,-0.021,-0.001,,,
5.8333,-0.16,-0.42,0,0.095,-0.027,-0.002,,,
5.8342,-0.15,-0.42,-0.03,0.103,-0.03,-0.002,,,
5.835,-0.17,-0.4,-0.2,0.11,-0.035,-0.003,,,
5.8358,-0.15,-0.41,-0.15,0.118,-0.037,-0.003,,,
5.8367,-0.12,-0.49,-0.06,0.128,-0.041,-0.005,,,
5.8375,-0.13,-0.56,0.29,0.136,-0.042,-0.003,,,
5.8383,-0.15,-0.48,0.32,0.14,-0.043,-0.005,,,
5.8392,-0.17,-0.46,0.24,0.143,-0.045,-0.004,,,
5.84,-0.1,-0.45,0.31,0.146,-0.045,-0.005,,,
5.8408,-0.1,-0.48,0.36,0.152,-0.047,-0.005,,,
5.8417,-0.1,-0.46,0.33,0.153,-0.048,-0.004,,,
5.8425,-0.04,-0.42,0.38,0.153,-0.047,-0.006,,,
5.8433,-0.08,-0.41,0.29,0.155,-0.05,-0.005,,,
5.8442,-0.09,-0.36,0.38,0.153,-0.052,-0.004,,,
5.845,-0.09,-0.23,0.33,0.148,-0.052,-0.006,,,
5.8458,-0.13,-0.22,0.16,0.147,-0.055,-0.005,,,
5.8467,-0.17,-0.22,0.12,0.144,-0.059,-0.005,,,
5.8475,-0.2,-0.28,0.13,0.144,-0.061,-0.006,,,
5.8483,-0.22,-0.4,0.2,0.148,-0.064,-0.005,,,
5.8492,-0.29,-0.43,0.42,0.148,-0.067,-0.005,,,
5.85,-0.37,-0.44,0.36,0.148,-0.069,-0.006,,,
5.8508,-0.38,-0.43,0.48,0.144,-0.068,-0.005,,,
5.8517,-0.36,-0.41,0.49,0.143,-0.066,-0.005,,,
5.8525,-0.34,-0.38,0.45,0.138,-0.063,-0.004,,,
5.8533,-0.27,-0.33,0.39,0.131,-0.058,-0.004,,,
5.8542,-0.16,-0.31,0.35,0.124,-0.05,-0.004,,,
5.855,-0.11,-0.28,0.37,0.119,-0.046,-0.004,,,
5.8558,-0.06,-0.23,0.49,0.111,-0.04,-0.004,,,
5.8567,0.03,-0.14,0.61,0.104,-0.032,-0.004,,,
5.8575,0.04,-0.03,0.67,0.094,-0.03,-0.004,,,
5.8583,0.04,0.02,0.69,0.089,-0.027,-0.004,,,
5.8592,0.06,0.08,0.73,0.078,-0.023,-0.005,,,
5.86,0.13,0.07,0.58,0.074,-0.02,-0.005,,,
5.8608,0.13,0.1,0.54,0.067,-0.017,-0.004,,,
5.8617,0.11,0.11,0.48,0.06,-0.019,-0.006,,,
5.8625,0.12,-0.01,0.72,0.061,-0.016,-0.004,,,
5.8633,0.1,0.03,0.84,0.058,-0.016,-0.005,,,
5.8642,0.03,0.12,0.64,0.05,-0.018,-0.004,,,
5.865,-0.03,0.09,0.63,0.048,-0.021,-0.004,,,
5.8658,-0.1,0.09,0.52,0.047,-0.021,-0.003,,,
5.8667,-0.09,0.11,0.32,0.039,-0.023,-0.004,,,
5.8675,-0.02,-0.09,0.34,0.045,-0.021,-0.003,,,
5.8683,-0.1,-0.1,0.47,0.044,-0.021,-0.003,,,
5.8692,-0.11,-0.1,0.37,0.041,-0.021,-0.003,,,
5.87,-0.1,-0.16,0.47,0.038,-0.019,-0.002,,,
5.8708,-0.12,-0.08,0.31,0.03,-0.02,-0.002,,,
5.8717,-0.15,0.01,0.38,0.026,-0.016,-0.001,,,
5.8725,-0.07,-0.02,0.32,0.021,-0.013,-0.001,,,
5.8733,-0.08,0.01,0.28,0.014,-0.011,0,,,
5.8742,-0.02,0.05,0.31,0.01,-0.007,-0.001,,,
5.875,0.01,0.04,0.28,0.005,-0.004,0,,,
5.8758,-0.01,0.07,0.32,0.002,-0.004,0,,,
5.8767,0.01,0.1,0.22,0.001,-0.001,0.001,,,
5.8775,0.05,0.1,0.17,-0.002,-0.001,0,,,
5.8783,-0.01,0.12,0.21,0.001,-0.003,0,,,
5.8792,-0.04,0.04,0.34,0.004,-0.004,0,,,
5.88,-0.02,-0.01,0.36,0.004,-0.002,0.001,,,
5.8808,0.02,0,0.26,0.002,-0.001,0.001,,,
5.8817,0,0.05,0.21,0.003,-0.004,0,,,
5.8825,-0.06,0.05,0.29,0.003,-0.005,0.002,,,
5.8833,-0.04,0.07,0.39,0.003,-0.002,0,,,
5.8842,0.04,0.05,0.43,0.002,0,0.001,,,
5.885,0.04,0.06,0.51,0.002,-0.001,0,,,
5.8858,0,0.08,0.53,0,-0.002,0.001,,,
5.8867,0,0.15,0.52,-0.003,-0.002,0,,,
5.8875,0.06,0.24,0.44,-0.008,-0.002,-0.001,,,
5.8883,0.05,0.31,0.45,-0.009,0.002,0,,,
5.8892,0.06,0.24,0.47,-0.006,0.002,0,,,
5.89,0.11,0.19,0.35,-0.008,0.001,-0.001,,,
5.8908,0.03,0.2,0.12,-0.011,0,-0.001,,,
5.8917,-0.01,0.22,0.15,-0.006,0.001,-0.001,,,
5.8925,0,0.16,0.11,-0.005,-0.001,-0.001,,,
5.8933,0.03,0.19,0.16,-0.006,0.001,-0.002,,,
5.8942,-0.02,0.15,0.24,-0.006,0,0,,,
5.895,-0.09,0.13,0.35,-0.001,-0.001,0,,,
5.8958,-0.07,0.11,0.2,-0.001,0,0,,,
5.8967,-0.13,0.05,0.12,0.003,0.003,0.001,,,
5.8975,-0.02,-0.04,0.13,0.01,0.01,0.001,,,
5.8983,0.12,-0.09,0.09,0.009,0.017,0.002,,,
5.8992,0.15,-0.07,0.04,0.007,0.02,0.003,,,
5.9,0.14,-0.06,0.03,0.012,0.024,0.004,,,
5.9008,0.22,-0.08,-0.03,0.012,0.029,0.003,,,
5.9017,0.25,-0.03,-0.07,0.009,0.03,0.003,,,
5.9025,0.22,0,-0.01,0.009,0.027,0.004,,,
5.9033,0.21,-0.01,-0.01,0.009,0.027,0.004,,,
5.9042,0.24,0.01,0.02,0.005,0.027,0.002,,,
5.905,0.22,0.01,0.07,0.002,0.024,0.002,,,
5.9058,0.22,0.08,-0.05,0.001,0.017,0.003,,,
5.9067,0.06,0.14,-0.07,-0.002,0.011,0.002,,,
5.9075,0.02,0.17,-0.1,-0.002,0.01,0.002,,,
5.9083,0.01,0.17,0,-0.001,0.008,0.001,,,
5.9092,0,0.11,0.13,-0.001,0.006,0.001,,,
5.91,0.03,0.12,0.19,0.001,0.005,0.002,,,
5.9108,-0.02,0.09,0.29,0,0.008,0.001,,,
5.9117,0.09,0.16,0.13,0.002,0.008,0.001,,,
5.9125,-0.02,0.12,0.12,0.004,0.008,0.002,,,
5.9133,0.04,0.04,0,0.008,0.008,0.002,,,
5.9142,-0.02,0.02,0.04,0.011,0.013,0.001,,,
5.915,0.12,-0.05,0.02,0.015,0.015,0,,,
5.9158,0.12,-0.07,0.07,0.016,0.017,0.002,,,
5.9167,0.16,-0.05,0.08,0.016,0.019,0.002,,,
5.9175,0.15,-0.01,0.19,0.015,0.021,0.002,,,
5.9183,0.19,0.01,0.13,0.016,0.021,0.001,,,
5.9192,0.15,0,0.14,0.016,0.021,0.002,,,
5.92,0.19,-0.01,0.13,0.014,0.018,0.001,,,
5.9208,0.13,-0.02,0.16,0.016,0.018,0.001,,,
5.9217,0.15,-0.03,0.15,0.014,0.015,0.001,,,
5.9225,0.11,0,0.18,0.013,0.015,0.001,,,
5.9233,0.16,-0.01,0.26,0.011,0.012,0.001,,,
5.9242,0.11,0.02,0.28,0.01,0.01,0.001,,,
5.925,0.05,0.08,0.27,0.007,0.006,0,,,
5.9258,0.05,0.03,0.24,0.007,0.005,0,,,
5.9267,0.03,0.01,0.28,0.007,0.003,-0.001,,,
5.9275,0.02,0.01,0.24,0.006,0,0,,,
5.9283,0,-0.01,0.3,0.006,-0.001,-0.001,,,
5.9292,0,0,0.24,0.006,-0.001,-0.001,,,
5.93,-0.02,0,0.19,0.006,-0.002,-0.001,,,
5.9308,-0.01,-0.02,0.1,0.006,-0.002,-0.001,,,
5.9317,0.02,-0.05,0.16,0.008,0,-0.001,,,
5.9325,0.02,-0.05,0.12,0.008,-0.001,-0.002,,,
5.9333,0.01,-0.07,0.15,0.008,-0.001,-0.001,,,
5.9342,0.02,-0.07,0.15,0.009,-0.001,-0.002,,,
5.935,0.01,-0.08,0.19,0.01,0,-0.002,,,
5.9358,0.02,-0.01,0.19,0.005,0.002,-0.002,,,
5.9367,0.07,0.09,0.29,0.001,0.003,-0.003,,,
5.9375,0.13,0.12,0.56,0,0.005,-0.002,,,
5.9383,0.13,0.18,0.59,-0.001,0.006,-0.003,,,
5.9392,0.14,0.28,0.39,-0.003,0.006,-0.003,,,
5.94,0.15,0.43,0.12,-0.007,0.006,-0.003,,,
5.9408,0.21,0.38,0.18,0.003,-0.001,-0.004,,,
5.9417,0.09,0.24,0.13,0.011,-0.004,-0.003,,,
5.9425,0.11,0.22,0.02,0.013,-0.004,-0.005,,,
5.9433,0.15,0.15,0.07,0.021,-0.008,-0.004,,,
5.9442,0.03,0.09,0.17,0.03,-0.016,-0.006,,,
5.945,-0.1,0.08,0.21,0.035,-0.026,-0.005,,,
5.9458,-0.15,-0.03,0.45,0.048,-0.033,-0.005,,,
5.9467,-0.21,-0.18,0.5,0.067,-0.041,-0.006,,,
5.9475,-0.35,-0.24,0.41,0.078,-0.049,-0.004,,,
5.9483,-0.35,-0.36,0.24,0.091,-0.054,-0.004,,,
5.9492,-0.35,-0.4,0.29,0.101,-0.056,-0.003,,,
5.95,-0.29,-0.41,0.1,0.111,-0.057,-0.003,,,
5.9508,-0.22,-0.46,0.07,0.118,-0.056,-0.002,,,
5.9517,-0.16,-0.43,0.2,0.125,-0.06,-0.004,,,
5.9525,-0.25,-0.4,0.28,0.133,-0.062,-0.002,,,
5.9533,-0.22,-0.28,0.24,0.133,-0.059,-0.003,,,
5.9542,-0.13,-0.17,0.21,0.134,-0.058,-0.003,,,
5.955,-0.03,-0.21,0.23,0.143,-0.058,-0.002,,,
5.9558,-0.08,-0.26,0.4,0.149,-0.06,-0.003,,,
5.9567,-0.03,-0.31,0.32,0.153,-0.06,-0.003,,,
5.9575,-0.01,-0.37,0.52,0.159,-0.058,-0.003,,,
5.9583,0.03,-0.38,0.61,0.165,-0.062,-0.004,,,
5.9592,-0.07,-0.4,0.79,0.169,-0.066,-0.003,,,
5.96,-0.1,-0.41,0.89,0.173,-0.068,-0.004,,,
5.9608,-0.16,-0.41,1.01,0.175,-0.069,-0.004,,,
5.9617,-0.2,-0.36,0.89,0.172,-0.072,-0.004,,,
5.9625,-0.21,-0.38,0.7,0.173,-0.073,-0.004,,,
5.9633,-0.19,-0.38,0.53,0.171,-0.072,-0.003,,,
5.9642,-0.12,-0.42,0.39,0.17,-0.073,-0.004,,,
5.965,-0.21,-0.48,0.35,0.168,-0.076,-0.002,,,
5.9658,-0.24,-0.51,0.31,0.166,-0.075,-0.003,,,
5.9667,-0.27,-0.5,0.44,0.161,-0.076,-0.002,,,
5.9675,-0.27,-0.48,0.66,0.159,-0.077,-0.003,,,
5.9683,-0.37,-0.5,0.8,0.158,-0.075,-0.001,,,
5.9692,-0.42,-0.38,0.67,0.143,-0.072,-0.001,,,
5.97,-0.31,-0.34,0.54,0.135,-0.068,-0.001,,,
5.9708,-0.33,-0.32,0.5,0.125,-0.062,0.001,,,
5.9717,-0.22,-0.31,0.41,0.116,-0.058,0,,,
5.9725,-0.18,-0.32,0.55,0.104,-0.052,0.001,,,
5.9733,-0.16,-0.33,0.69,0.097,-0.046,0,,,
5.9742,-0.14,-0.13,0.64,0.079,-0.04,-0.002,,,
5.975,-0.14,-0.01,0.52,0.063,-0.034,-0.001,,,
5.9758,-0.07,0.09,0.62,0.049,-0.027,-0.001,,,
5.9767,-0.02,0.16,0.66,0.035,-0.019,-0.001,,,
5.9775,0.02,0.2,0.58,0.02,-0.012,-0.001,,,
5.9783,0.08,0.17,0.65,0.01,-0.006,0,,,
5.9792,0.07,0.19,0.62,0.002,-0.001,-0.002,,,
5.98,0.12,0.23,0.64,-0.006,0.002,-0.001,,,
5.9808,0.06,0.18,0.6,-0.004,0.002,0,,,
5.9817,0.02,0.14,0.54,0,-0.001,0,,,
5.9825,-0.03,0.25,0.15,-0.006,-0.002,-0.002,,,
5.9833,0.06,0.29,0.22,-0.006,0.005,0,,,
5.9842,0.06,0.13,0.11,-0.004,0,0.001,,,
5.985,0.09,0.19,0.09,-0.008,-0.001,0,,,
5.9858,-0.03,0.13,0.28,-0.002,0.001,0.001,,,
5.9867,0.02,0.08,0.21,0,0,0.001,,,
5.9875,-0.08,0.06,0.12,-0.004,-0.005,0,,,
5.9883,-0.1,0.09,0.28,0.003,-0.004,0.002,,,
5.9892,0.08,0.02,0.42,0.009,0.004,0.002,,,
5.99,0.12,-0.11,0.15,0.003,0.002,0.003,,,
5.9908,-0.02,-0.01,0.19,0.002,-0.001,0.003,,,
5.9917,-0.02,-0.02,0.28,0.01,0.001,0.004,,,
5.9925,0.13,-0.04,0.09,0.005,0.005,0.002,,,
5.9933,0.1,-0.01,0.06,0.002,0.004,0.002,,,
5.9942,0.07,-0.04,0.24,0.009,0.004,0.004,,,
5.995,0.09,-0.07,0.11,0.007,0.002,0.002,,,
5.9958,0.08,0.02,0.01,0.001,0.002,0.001,,,
5.9967,0.09,0.09,0.18,0.003,0.005,0.002,,,
5.9975,0.1,0.03,0.13,0.001,0.003,0.002,,,
5.9983,0.05,0.11,-0.48,-0.002,-0.003,0,,,
5.9992,-0.06,0.17,-0.73,-0.004,-0.003,0.002,,,
6,0,0.09,-0.56,-0.007,0.001,0.002,,,
6.0008,0.11,0.11,-0.24,0.003,0.004,0.001,,,
6.0017,0.08,-0.05,-0.03,0.003,0,0.003,,,
6.0025,-0.05,0.01,0.14,0.002,-0.006,0.002,,,
6.0033,-0.14,0.04,0.34,0.004,-0.004,0.001,,,
6.0042,-0.09,0.08,0.23,0.001,-0.006,0.001,,,
6.005,-0.18,0.14,0.22,0,-0.01,0.002,,,
6.0058,-0.09,0.03,0.24,0.004,-0.006,0.001,,,
6.0067,0.01,-0.06,0.15,0.006,-0.002,0,,,
6.0075,0.04,-0.09,0.05,0.005,-0.004,0.002,,,
6.0083,0,-0.03,0.16,0.004,-0.001,0.001,,,
6.0092,0.06,0.02,0.16,0.002,0,0.001,,,
6.01,-0.01,0.11,0.19,0,-0.002,0.001,,,
6.0108,0.01,0.09,0.23,0.001,0,0,,,
6.0117,-0.01,0.08,0.19,0.002,-0.002,0,,,
6.0125,-0.02,0.04,0.26,0.002,-0.001,0,,,
6.0133,0.08,0.02,0.22,0.004,0.003,-0.001,,,
6.0142,0.08,-0.01,0.16,0.004,0.003,0,,,
6.015,0.14,-0.04,0.14,0.007,0.003,0,,,
6.0158,0.13,-0.05,0.22,0.006,0.003,0.001,,,
6.0167,0.12,-0.01,0.2,0.005,0.003,0,,,
6.0175,0.06,0,0.2,0.007,0.002,-0.001,,,
6.0183,0.03,-0.04,0.26,0.007,0.001,0,,,
6.0192,0.06,-0.02,0.23,0.006,0.003,-0.001,,,
6.02,0.06,-0.01,0.12,0.006,0.001,-0.001,,,
6.0208,0.01,-0.02,0.14,0.007,-0.002,0,,,
6.0217,0.02,0.01,-0.06,0.009,-0.002,0,,,
6.0225,0.09,-0.03,-0.59,0.015,-0.001,-0.002,,,
6.0233,-0.02,-0.17,-0.43,0.013,-0.005,0,,,
6.0242,0.03,-0.16,-0.11,0.012,0,-0.001,,,
6.025,0.06,-0.05,0.01,0.008,0.001,-0.001,,,
6.0258,0.04,0.01,0.04,0.005,-0.002,0,,,
6.0267,-0.03,0.06,0.13,0.005,-0.005,-0.001,,,
6.0275,-0.08,0.04,0.25,0.005,-0.004,-0.001,,,
6.0283,-0.06,0.12,0.16,0.002,-0.005,-0.001,,,
6.0292,-0.07,0.07,0.12,0.006,-0.005,-0.002,,,
6.03,-0.01,-0.07,0.36,0.008,-0.003,-0.002,,,
6.0308,0.1,-0.12,0.45,0.012,-0.001,-0.002,,,
6.0317,0.06,-0.04,0.33,0.013,-0.005,-0.001,,,
6.0325,-0.01,0.06,0.19,0.012,-0.008,0,,,
6.0333,-0.03,0.13,0.25,0.015,-0.009,-0.002,,,
6.0342,0.01,0.12,0.38,0.019,-0.01,-0.001,,,
6.035,0.04,0.14,0.27,0.022,-0.012,-0.001,,,
6.0358,0.07,0.09,0.13,0.028,-0.016,-0.002,,,
6.0367,0.05,0.06,0.17,0.034,-0.018,-0.002,,,
6.0375,0.03,0.05,0.13,0.041,-0.021,-0.002,,,
6.0383,0,0.01,0,0.047,-0.029,-0.003,,,
6.0392,-0.06,0.03,0.01,0.052,-0.033,-0.004,,,
6.04,-0.08,-0.05,-0.04,0.06,-0.037,-0.004,,,
6.0408,-0.15,-0.15,0.04,0.071,-0.046,-0.005,,,
6.0417,-0.27,-0.2,0.2,0.076,-0.053,-0.005,,,
6.0425,-0.29,-0.27,0.17,0.085,-0.056,-0.004,,,
6.0433,-0.28,-0.32,0.32,0.093,-0.057,-0.005,,,
6.0442,-0.26,-0.37,0.18,0.098,-0.06,-0.004,,,
6.045,-0.34,-0.32,0.17,0.1,-0.062,-0.003,,,
6.0458,-0.28,-0.33,0.26,0.107,-0.057,-0.004,,,
6.0467,-0.17,-0.41,0.18,0.11,-0.055,-0.003,,,
6.0475,-0.17,-0.32,0.16,0.109,-0.054,-0.003,,,
6.0483,-0.12,-0.33,0.19,0.111,-0.05,-0.003,,,
6.0492,-0.08,-0.28,0.29,0.109,-0.047,-0.003,,,
6.05,-0.05,-0.19,0.3,0.105,-0.047,-0.003,,,
6.0508,0.02,-0.14,0.43,0.105,-0.043,-0.003,,,
6.0517,0.01,-0.13,0.5,0.103,-0.044,-0.004,,,
6.0525,-0.01,-0.1,0.55,0.099,-0.043,-0.003,,,
6.0533,0.05,-0.05,0.49,0.096,-0.04,-0.004,,,
6.0542,0.08,-0.04,0.59,0.096,-0.042,-0.003,,,
6.055,0.01,-0.04,0.67,0.095,-0.044,-0.003,,,
6.0558,0.04,-0.07,0.84,0.096,-0.046,-0.004,,,
6.0567,-0.07,-0.07,0.96,0.094,-0.047,-0.004,,,
6.0575,-0.09,-0.06,0.9,0.094,-0.049,-0.004,,,
6.0583,-0.19,0.01,0.81,0.087,-0.053,-0.003,,,
6.0592,-0.2,-0.05,0.71,0.087,-0.054,-0.002,,,
6.06,-0.16,-0.06,0.74,0.087,-0.054,-0.003,,,
6.0608,-0.2,-0.09,0.59,0.083,-0.054,-0.003,,,
6.0617,-0.2,-0.07,0.39,0.08,-0.052,-0.002,,,
6.0625,-0.16,-0.07,0.43,0.078,-0.049,-0.002,,,
6.0633,-0.18,-0.12,0.42,0.077,-0.049,-0.001,,,
6.0642,-0.21,-0.06,0.39,0.07,-0.048,-0.001,,,
6.065,-0.19,-0.17,0.54,0.072,-0.046,0.001,,,
6.0658,-0.18,-0.15,0.72,0.068,-0.042,-0.001,,,
6.0667,-0.2,-0.17,0.58,0.064,-0.038,0,,,
6.0675,-0.14,-0.06,0.48,0.055,-0.032,0,,,
6.0683,-0.1,-0.06,0.39,0.049,-0.027,0.001,,,
6.0692,-0.05,0.01,0.45,0.041,-0.024,0.001,,,
6.07,-0.06,-0.07,0.4,0.037,-0.02,0.001,,,
6.0708,0.01,0,0.43,0.028,-0.013,0,,,
6.0717,0,0.01,0.36,0.02,-0.011,0,,,
6.0725,0.04,0.11,0.5,0.011,-0.007,0,,,
6.0733,0.02,0.1,0.57,0.006,-0.004,0,,,
6.0742,0.05,0.19,0.7,0,-0.001,0,,,
6.075,0.01,0.19,0.6,-0.003,-0.002,0,,,
6.0758,0.03,0.22,0.57,-0.004,0,0,,,
6.0767,0.05,0.18,0.42,-0.003,0.001,0,,,
6.0775,0.08,0.18,0.28,-0.002,0.001,0,,,
6.0783,0.06,0.22,0.1,-0.008,0.001,-0.001,,,
6.0792,0.03,0.24,0.12,-0.008,-0.002,0.001,,,
6.08,-0.02,0.26,0.12,-0.01,-0.004,0,,,
6.0808,0.05,0.27,0.09,-0.011,0.001,0,,,
6.0817,0.1,0.22,0.49,-0.006,0.001,0.001,,,
6.0825,-0.12,0.21,0.43,-0.006,-0.007,0.001,,,
6.0833,-0.18,0.19,0.14,-0.004,-0.008,0.003,,,
6.0842,-0.06,0.05,0.14,0,-0.003,0.002,,,
6.085,0.02,-0.07,0.11,0.003,-0.001,0.003,,,
6.0858,0.1,-0.14,0.15,0.007,0,0.003,,,
6.0867,-0.01,-0.08,0.21,0.009,-0.003,0.004,,,
6.0875,-0.06,-0.07,0.03,0.008,-0.002,0.005,,,
6.0883,0.04,-0.07,0.13,0.007,0.003,0.003,,,
6.0892,0.06,-0.05,0.2,0.009,0.003,0.004,,,
6.09,0.03,0.02,0.17,0.006,0.002,0.003,,,
6.0908,0.06,0.02,0.17,0.004,0.004,0.003,,,
6.0917,0.09,0.05,0.16,0.003,0.005,0.002,,,
6.0925,0.11,0.1,0.13,0,0.006,0.003,,,
6.0933,0.15,0.19,-0.1,-0.001,0.006,0.003,,,
6.0942,0.1,0.2,-0.42,0.005,-0.001,0.001,,,
6.095,-0.02,0.06,-0.46,0.004,-0.005,0.002,,,
6.0958,-0.02,0.03,-0.21,0.003,0,0.001,,,
6.0967,0.07,0.05,-0.13,0.003,0.001,0.002,,,
6.0975,0.01,0.06,0.07,0.003,-0.003,0.002,,,
6.0983,-0.03,0.05,0.25,0.002,-0.001,0.003,,,
